commons.learn.more,"En savoir plus...","Put anywhere the user can learn more by clicking on a link.",,,"Learn more..."
commons.powered.by.surveycto,"Réalisé par {0}","SurveyCTO branding. {0} gets replaced by ""SurveyCTO"" and must be included in your translation.",,,"Powered by {0}"
web.forms.page.delete.instances.confirmation.message,"Êtes-vous sûr de vouloir supprimer ce formulaire?","Text to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,"Are you sure you want to delete this form?"
web.forms.page.delete.instances.confirmation.negative.button,"Ne pas supprimer","Button to confirm that the user does NOT want to delete a filled-out form (i.e., to cancel deleting a submission).",,,"Do not delete"
web.forms.page.delete.instances.confirmation.positive.button,"Oui, supprimez-le","Button to confirm that the user DOES want to delete a filled-out form (i.e., a submission).",,,"Yes, delete it"
web.forms.page.delete.instances.confirmation.title,"Confirmer la suppression","Title of the window to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,"Confirm deletion"
web.forms.page.delete.instances.header,"Choisir un formulaire à supprimer:","Header for list of filled-out forms that can be deleted.",,,"Choose a form to delete:"
web.forms.page.delete.instances.title,"Supprimer un formulaire enregistré","Title for list of filled-out forms that can be deleted.",,,"Delete saved form"
web.forms.page.edit.instances.header,"Choisir un formulaire enregistré pour reprendre l'édition:","Header for list of saved forms that can be resumed.",,,"Choose a saved form to resume editing:"
web.forms.page.edit.instances.title,"Liste des formulaires enregistrés","Title for list of saved forms that can be resumed.",,,"Saved forms list"
web.forms.page.filling.audio.select.file.button,"Sélectionner un fichier audio","Button for selecting an audio file.",,,"Select audio file"
web.forms.page.filling.banner.tooltip,"{0} (version: {1})","Information about the current form that appears if the user hovers their mouse over the form title in the upper-left. {0} gets replaced with the current form title. {1} gets replaced with the form version. Both must be included in your translation.",,,"{0} (version: {1})"
web.forms.page.filling.binary.error.large.file,"Désolé, mais vous ne pouvez pas joindre un fichier d'une taille supérieure à {0} Mo. Veuillez joindre un fichier plus petit avant de continuer.","Error message that appears when the user tries to attach a file that is too large. {0} gets replaced with the max file size (in megabytes) and must be included in your translation.",,,"I'm sorry, but you cannot attach a file that is more than {0}MB in size. Please attach a smaller file before continuing."
web.forms.page.filling.file.current.selection.label,"Sélection actuelle","This is the text that appears immediately before the selected file name once you've made a selection in a file field.",,,"Current selection"
web.forms.page.filling.file.select.different.button,"Sélectionner un autre fichier","This is the button label once you've made a selection in a file field.",,,"Select a different file"
web.forms.page.filling.file.select.file.button,"Sélectionner un fichier","This is the default button label in a file field before you've made a selection.",,,"Select a file"
web.forms.page.filling.geopoint.accuracy,Précision,"This is the text that appears immediately before the accuracy value once you've recorded your location in a geo field.",,,Accuracy
web.forms.page.filling.geopoint.altitude,Altitude,"This is the text that appears immediately before the altitude value once you've recorded your location in a geo field.",,,Altitude
web.forms.page.filling.geopoint.error.geolocation.not.supported,"La géolocalisation n'est pas prise en charge par ce navigateur.","Error message that appears when a geopoint field is shown in a browser that does not support location services.",,,"Geolocation is not supported by this browser."
